Ticker,Company
0700.HK,Tencent Holdings Limited
4335.HK,Intel Corporation
4333.HK,"Cisco Systems, Inc."
1398.HK,Industrial and Commercial Bank of China Limited
4336.HK,"Applied Materials, Inc."
0005.HK,HSBC Holdings plc
1288.HK,Agricultural Bank of China Limited
0939.HK,China Construction Bank Corporation
0857.HK,PetroChina Company Limited
3988.HK,Bank of China Limited
9988.HK,Alibaba Group Holding Limited
3750.HK,"Contemporary Amperex Technology Co., Limited"
0941.HK,China Mobile Limited
0883.HK,CNOOC Limited
3968.HK,"China Merchants Bank Co., Ltd."
3308.HK,"Zhongji Innolight Co., Ltd."
1088.HK,China Shenhua Energy Company Limited
2628.HK,China Life Insurance Company Limited
2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
6288.HK,"Fast Retailing Co., Ltd."
2899.HK,Zijin Mining Group Company Limited
1211.HK,BYD Company Limited
0981.HK,Semiconductor Manufacturing International Corporation
1299.HK,AIA Group Limited
0300.HK,"Midea Group Co., Ltd."
1810.HK,Xiaomi Corporation
0386.HK,China Petroleum & Chemical Corporation
3328.HK,"Bank of Communications Co., Ltd."
1658.HK,"Postal Savings Bank of China Co., Ltd."
0728.HK,China Telecom Corporation Limited
9999.HK,"NetEase, Inc."
0945.HK,Manulife Financial Corporation
2359.HK,"WuXi AppTec Co., Ltd."
2475.HK,"Luxshare Precision Industry Co., Ltd."
0998.HK,China CITIC Bank Corporation Limited
0388.HK,Hong Kong Exchanges and Clearing Limited
2388.HK,BOC Hong Kong (Holdings) Limited
2888.HK,Standard Chartered PLC
9633.HK,"Nongfu Spring Co., Ltd."
6030.HK,CITIC Securities Company Limited
3690.HK,Meituan
3993.HK,CMOC Group Limited
2513.HK,"Z.AI Co., Ltd."
2259.HK,Zijin Gold International Company Limited
0992.HK,Lenovo Group Limited
0267.HK,CITIC Limited
2328.HK,PICC Property and Casualty Company Limited
0016.HK,Sun Hung Kai Properties Limited
1276.HK,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd"
2611.HK,"Guotai Haitong Securities Co., Ltd."
1339.HK,The People's Insurance Company (Group) of China Limited
2601.HK,"China Pacific Insurance (Group) Co., Ltd."
6160.HK,BeOne Medicines AG
3986.HK,GigaDevice Semiconductor Inc.
6809.HK,"Montage Technology Co., Ltd."
9618.HK,"JD.com, Inc."
1919.HK,"COSCO SHIPPING Holdings Co., Ltd."
2476.HK,"Victory Giant Technology (HuiZhou) Co.,Ltd"
2714.HK,"Muyuan Foods Group Co., Ltd."
6869.HK,Yangtze Optical Fibre And Cable Joint Stock Limited Company
2378.HK,Prudential plc
2338.HK,"Weichai Power Co., Ltd."
1347.HK,Hua Hong Grace Semiconductor Limited
0001.HK,CK Hutchison Holdings Limited
0669.HK,Techtronic Industries Company Limited
6951.HK,"Chaozhou Three-Circle (Group) Co.,Ltd."
1109.HK,China Resources Land Limited
9888.HK,"Baidu, Inc."
6613.HK,"Lens Technology Co., Ltd."
1378.HK,China Hongqiao Group Limited
3288.HK,Foshan Haitian Flavouring and Food Company Ltd.
1816.HK,"CGN Power Co., Ltd."
9961.HK,Trip.com Group Limited
2020.HK,ANTA Sports Products Limited
6690.HK,"Haier Smart Home Co., Ltd."
2269.HK,WuXi Biologics (Cayman) Inc.
6066.HK,"CSC Financial Co., Ltd."
6818.HK,China Everbright Bank Company Limited
1898.HK,China Coal Energy Company Limited
0066.HK,MTR Corporation Limited
9992.HK,Pop Mart International Group Limited
1171.HK,Yankuang Energy Group Company Limited
0002.HK,CLP Holdings Limited
1336.HK,New China Life Insurance Company Ltd.
6031.HK,"Sany Heavy Industry Co.,Ltd"
1766.HK,CRRC Corporation Limited
0175.HK,Geely Automobile Holdings Limited
6936.HK,"S.F. Holding Co., Ltd."
1377.HK,"Guangdong Dtech Technology Co., Ltd."
3692.HK,Hansoh Pharmaceutical Group Company Limited
6886.HK,"Huatai Securities Co., Ltd."
1801.HK,"Innovent Biologics, Inc."
1776.HK,"GF Securities Co., Ltd."
2600.HK,Aluminum Corporation of China Limited
6099.HK,"China Merchants Securities Co., Ltd."
0762.HK,China Unicom (Hong Kong) Limited
0763.HK,ZTE Corporation
1988.HK,"China Minsheng Banking Corp., Ltd."
0358.HK,Jiangxi Copper Company Limited
1787.HK,"Shandong Gold Mining Co., Ltd."
2050.HK,"Zhejiang Sanhua Intelligent Controls Co.,Ltd"
3606.HK,"Fuyao Glass Industry Group Co., Ltd."
1038.HK,CK Infrastructure Holdings Limited
1113.HK,CK Asset Holdings Limited
0788.HK,China Tower Corporation Limited
3908.HK,China International Capital Corporation Limited
2423.HK,KE Holdings Inc.
0688.HK,China Overseas Land & Investment Limited
0027.HK,Galaxy Entertainment Group Limited
9973.HK,"Chery Automobile Co., Ltd."
1024.HK,Kuaishou Technology
0012.HK,Henderson Land Development Company Limited
1972.HK,Swire Properties Limited
3200.HK,"Shenzhen Han's CNC Technology Co., Ltd."
0003.HK,The Hong Kong and China Gas Company Limited
3296.HK,"Huaqin Co., Ltd."
6881.HK,"China Galaxy Securities Co., Ltd."
1929.HK,Chow Tai Fook Jewellery Group Limited
2333.HK,Great Wall Motor Company Limited
0006.HK,Power Assets Holdings Limited
1308.HK,SITC International Holdings Company Limited
2057.HK,ZTO Express (Cayman) Inc.
1880.HK,China Tourism Group Duty Free Corporation Limited
9987.HK,"Yum China Holdings, Inc."
0753.HK,Air China Limited
6806.HK,"Shenwan Hongyuan Group Co., Ltd."
1888.HK,Kingboard Laminates Holdings Limited
0019.HK,Swire Pacific Limited
0087.HK,Swire Pacific Limited
6990.HK,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd."
1208.HK,MMG Limited
0501.HK,"OmniVision Integrated Circuits Group, Inc."
0390.HK,China Railway Group Limited
1772.HK,"Ganfeng Lithium Group Co., Ltd."
6618.HK,JD Health International Inc.
1179.HK,H World Group Limited
1928.HK,Sands China Ltd.
3996.HK,China Energy Engineering Corporation Limited
0316.HK,Orient Overseas (International) Limited
0902.HK,"Huaneng Power International, Inc."
1138.HK,"COSCO SHIPPING Energy Transportation Co., Ltd."
0916.HK,China Longyuan Power Group Corporation Limited
3808.HK,Sinotruk (Hong Kong) Limited
1688.HK,Lingyi iTech (Guangdong) Company
1093.HK,CSPC Pharmaceutical Group Limited
1698.HK,Tencent Music Entertainment Group
2727.HK,"Shanghai Electric Group Co., Ltd."
0914.HK,Anhui Conch Cement Company Limited
1913.HK,Prada S.p.A.
0288.HK,WH Group Limited
0083.HK,Sino Land Company Limited
6693.HK,Chifeng Jilong Gold Mining Group Limited
1177.HK,Sino Biopharmaceutical Limited
0823.HK,Link Real Estate Investment Trust
6082.HK,"Shanghai Biren Technology Co., Ltd."
2099.HK,China Gold International Resources Corp. Ltd.
9980.HK,"Eastroc Beverage (Group) Co., Ltd."
0991.HK,"Datang International Power Generation Co., Ltd."
9927.HK,"Seres Group Co.,Ltd"
1072.HK,Dongfang Electric Corporation Limited
0100.HK,MiniMax Group Inc.
1800.HK,China Communications Construction Company Limited
1997.HK,Wharf Real Estate Investment Company Limited
1519.HK,J&T Global Express Limited
0836.HK,China Resources Power Holdings Company Limited
2268.HK,WuXi XDC Cayman Inc.
1055.HK,China Southern Airlines Company Limited
2097.HK,MIXUE Group
2249.HK,Nexchip Semiconductor Corporation
2015.HK,Li Auto Inc.
9903.HK,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd."
6823.HK,HKT Trust and HKT Limited
1209.HK,China Resources Mixc Lifestyle Services Limited
1186.HK,China Railway Construction Corporation Limited
6656.HK,"Sigenergy Technology Co., Ltd"
9696.HK,Tianqi Lithium Corporation
1768.HK,"Busy Ming Group Co., Ltd."
0293.HK,Cathay Pacific Airways Limited
2016.HK,"China Zheshang Bank Co., Ltd"
9868.HK,XPeng Inc.
3661.HK,SG Micro Corp
3618.HK,"Chongqing Rural Commercial Bank Co., Ltd."
3759.HK,"Pharmaron Beijing Co., Ltd."
9926.HK,"Akeso, Inc."
0670.HK,China Eastern Airlines Corporation Limited
9866.HK,NIO Inc.
0668.HK,"Anker Innovations Technology Co., Ltd."
3958.HK,Orient Securities Company Limited
1989.HK,Delton Technology (Guangzhou) Inc.
1876.HK,Budweiser Brewing Company APAC Limited
1818.HK,Zhaojin Mining Industry Company Limited
2208.HK,"Goldwind Science&Technology Co., Ltd."
3223.HK,"Ingenic Semiconductor Co.,Ltd."
1548.HK,Genscript Biotech Corporation
6166.HK,"CIG Shanghai Co., Ltd."
2618.HK,"JD Logistics, Inc."
0966.HK,China Taiping Insurance Holdings Company Limited
0322.HK,Tingyi (Cayman Islands) Holding Corp.
2319.HK,China Mengniu Dairy Company Limited
9901.HK,New Oriental Education & Technology Group Inc.
6181.HK,"Laopu Gold Co., Ltd."
9630.HK,"Circuit Fabology Microelectronics Equipment Co., Ltd."
6178.HK,Everbright Securities Company Limited
0168.HK,Tsingtao Brewery Company Limited
6969.HK,Smoore International Holdings Limited
6821.HK,"Asymchem Laboratories (Tianjin) Co., Ltd."
1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd."
9660.HK,Horizon Robotics
3698.HK,Huishang Bank Corporation Limited
0522.HK,ASMPT Limited
6862.HK,Haidilao International Holding Ltd.
2382.HK,Sunny Optical Technology (Group) Company Limited
1258.HK,China Nonferrous Mining Corporation Limited
0177.HK,Jiangsu Expressway Company Limited
0144.HK,China Merchants Port Holdings Company Limited
9995.HK,"RemeGen Co., Ltd."
0291.HK,China Resources Beer (Holdings) Company Limited
2076.HK,Kanzhun Limited
3939.HK,Wanguo Gold Group Limited
0135.HK,Kunlun Energy Company Limited
2196.HK,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
0470.HK,"Wuxi Lead Intelligent Equipment CO.,LTD."
6198.HK,"Qingdao Port International Co., Ltd."
2607.HK,"Shanghai Pharmaceuticals Holding Co., Ltd"
3898.HK,"Zhuzhou CRRC Times Electric Co., Ltd."
0004.HK,The Wharf (Holdings) Limited
