Ticker,Company
688825.SS,CXMT Corporation
601398.SS,Industrial and Commercial Bank of China Limited
601288.SS,Agricultural Bank of China Limited
601939.SS,China Construction Bank Corporation
601857.SS,PetroChina Company Limited
601988.SS,Bank of China Limited
600519.SS,"Kweichow Moutai Co., Ltd."
600941.SS,China Mobile Limited
601138.SS,"Foxconn Industrial Internet Co., Ltd."
600938.SS,CNOOC Limited
600036.SS,"China Merchants Bank Co., Ltd."
601088.SS,China Shenhua Energy Company Limited
601628.SS,China Life Insurance Company Limited
601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
601899.SS,Zijin Mining Group Company Limited
600900.SS,"China Yangtze Power Co., Ltd."
688981.SS,Semiconductor Manufacturing International Corporation
688256.SS,Cambricon Technologies Corporation Limited
600028.SS,China Petroleum & Chemical Corporation
601328.SS,"Bank of Communications Co., Ltd."
601658.SS,"Postal Savings Bank of China Co., Ltd."
601728.SS,China Telecom Corporation Limited
688041.SS,"Hygon Information Technology Co., Ltd."
603259.SS,"WuXi AppTec Co., Ltd."
601998.SS,China CITIC Bank Corporation Limited
600030.SS,CITIC Securities Company Limited
603993.SS,CMOC Group Limited
601166.SS,"Industrial Bank Co., Ltd."
688012.SS,Advanced Micro-Fabrication Equipment Inc. China
600183.SS,"Shengyi Technology Co.,Ltd."
600276.SS,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd"
600000.SS,"Shanghai Pudong Development Bank Co., Ltd."
601319.SS,The People's Insurance Company (Group) of China Limited
601211.SS,"Guotai Haitong Securities Co., Ltd."
601601.SS,"China Pacific Insurance (Group) Co., Ltd."
688235.SS,BeOne Medicines AG
688802.SS,"MetaX Integrated Circuits (Shanghai) Co., Ltd."
603986.SS,GigaDevice Semiconductor Inc.
600150.SS,China CSSC Holdings Limited
688795.SS,"Moore Threads Technology Co., Ltd."
601225.SS,Shaanxi Coal Industry Company Limited
601919.SS,"COSCO SHIPPING Holdings Co., Ltd."
688008.SS,"Montage Technology Co., Ltd."
601816.SS,"Beijing-Shanghai High-Speed Railway Co., Ltd."
688836.SS,"Yushu Technology Co., Ltd."
688347.SS,Hua Hong Grace Semiconductor Limited
600309.SS,"Wanhua Chemical Group Co., Ltd."
688808.SS,"Semight Instruments Co., Ltd."
688820.SS,SJ Semiconductor Corporation
600919.SS,"Bank of Jiangsu Co., Ltd."
601869.SS,Yangtze Optical Fibre And Cable Joint Stock Limited Company
603288.SS,Foshan Haitian Flavouring and Food Company Ltd.
688072.SS,Piotech Inc.
688498.SS,"Yuanjie Semiconductor Technology Co., Ltd."
603268.SS,"Guangdong Songfa Ceramics Co.,Ltd."
600406.SS,"NARI Technology Co., Ltd."
600690.SS,"Haier Smart Home Co., Ltd."
601668.SS,China State Construction Engineering Corporation Limited
601985.SS,"China National Nuclear Power Co., Ltd."
600025.SS,Huaneng Lancang River Hydropower Inc.
601066.SS,"CSC Financial Co., Ltd."
601898.SS,China Coal Energy Company Limited
601818.SS,China Everbright Bank Company Limited
600188.SS,Yankuang Energy Group Company Limited
601336.SS,New China Life Insurance Company Ltd.
600031.SS,"Sany Heavy Industry Co.,Ltd"
601766.SS,CRRC Corporation Limited
600989.SS,"Ningxia Baofeng Energy Group Co., Ltd."
600930.SS,Huadian New Energy Group Corporation Limited
600887.SS,"Inner Mongolia Yili Industrial Group Co., Ltd."
601688.SS,"Huatai Securities Co., Ltd."
600487.SS,"Hengtong Optic-Electric Co., Ltd."
600176.SS,"China Jushi Co., Ltd."
601600.SS,Aluminum Corporation of China Limited
600999.SS,"China Merchants Securities Co., Ltd."
688702.SS,"Suzhou Centec Communications Co., Ltd."
600016.SS,"China Minsheng Banking Corp., Ltd."
601872.SS,"China Merchants Energy Shipping Co., Ltd."
600362.SS,Jiangxi Copper Company Limited
600547.SS,"Shandong Gold Mining Co., Ltd."
601009.SS,"Bank of Nanjing Co., Ltd."
600111.SS,"China Northern Rare Earth (Group) High-Tech Co.,Ltd"
600660.SS,"Fuyao Glass Industry Group Co., Ltd."
600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd."
688082.SS,"ACM Research (Shanghai), Inc."
601229.SS,"Bank of Shanghai Co., Ltd."
601995.SS,China International Capital Corporation Limited
600050.SS,China United Network Communications Limited
600584.SS,"JCET Group Co., Ltd."
