Ticker,Company
300750.SZ,"Contemporary Amperex Technology Co., Limited"
300308.SZ,"Zhongji Innolight Co., Ltd."
002594.SZ,BYD Company Limited
000333.SZ,"Midea Group Co., Ltd."
300502.SZ,"Eoptolink Technology Inc., Ltd."
002371.SZ,"NAURA Technology Group Co., Ltd."
002475.SZ,"Luxshare Precision Industry Co., Ltd."
002384.SZ,"Suzhou Dongshan Precision Manufacturing Co., Ltd."
002415.SZ,"Hangzhou Hikvision Digital Technology Co., Ltd."
300059.SZ,"East Money Information Co.,Ltd."
000858.SZ,"Wuliangye Yibin Co.,Ltd."
300394.SZ,"Suzhou TFC Optical Communication Co., Ltd."
002379.SZ,Shandong Hongqiao Aluminum Industry Holding Company Limited
300476.SZ,"Victory Giant Technology (HuiZhou) Co.,Ltd"
002714.SZ,"Muyuan Foods Group Co., Ltd."
002916.SZ,"Shennan Circuits Co., Ltd."
002463.SZ,"Wus Printed Circuit (Kunshan) Co., Ltd."
000338.SZ,"Weichai Power Co., Ltd."
000651.SZ,"Gree Electric Appliances, Inc. of Zhuhai"
300274.SZ,"Sungrow Power Supply Co., Ltd."
000001.SZ,"Ping An Bank Co., Ltd."
002142.SZ,"Bank of Ningbo Co., Ltd."
300408.SZ,"Chaozhou Three-Circle (Group) Co.,Ltd."
000725.SZ,BOE Technology Group Company Limited
200725.SZ,BOE Technology Group Company Limited
002938.SZ,"Avary Holding(Shenzhen)Co., Limited"
300433.SZ,"Lens Technology Co., Ltd."
300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."
003816.SZ,"CGN Power Co., Ltd."
300604.SZ,"Hangzhou Changchuan Technology Co.,Ltd"
301666.SZ,DapuStor Corporation
002352.SZ,"S.F. Holding Co., Ltd."
300033.SZ,"Hithink RoyalFlush Information Network Co., Ltd."
300124.SZ,"Shenzhen Inovance Technology Co.,Ltd"
301377.SZ,"Guangdong Dtech Technology Co., Ltd."
001399.SZ,HKC Corporation Limited
001248.SZ,China Resources New Energy Holdings Company Limited
301308.SZ,"Shenzhen Longsys Electronics Co., Ltd."
000776.SZ,"GF Securities Co., Ltd."
302132.SZ,AVIC Chengdu Aircraft Company Limited
000063.SZ,ZTE Corporation
000792.SZ,"Qinghai Salt Lake Industry Co.,Ltd"
002050.SZ,"Zhejiang Sanhua Intelligent Controls Co.,Ltd"
000657.SZ,"China Tungsten And Hightech Materials Co.,Ltd"
001280.SZ,"China National Uranium Co., Ltd."
002353.SZ,"Yantai Jereh Oilfield Services Group Co., Ltd."
300999.SZ,"Yihai Kerry Arawana Holdings Co., Ltd"
002281.SZ,"Accelink Technologies Co,Ltd."
002493.SZ,"Rongsheng Petrochemical Co., Ltd."
301165.SZ,"Ruijie Networks Co., Ltd."
301200.SZ,"Shenzhen Han's CNC Technology Co., Ltd."
000408.SZ,Zangge Mining Company Limited
000568.SZ,"Luzhou Laojiao Co.,Ltd"
300014.SZ,"EVE Energy Co., Ltd."
002028.SZ,"Sieyuan Electric Co., Ltd."
301526.SZ,Chongqing Polycomp International Corporation
300857.SZ,"Sharetronic Data Technology Co., Ltd."
000977.SZ,"Inspur Electronic Information Industry Co., Ltd."
000166.SZ,"Shenwan Hongyuan Group Co., Ltd."
002736.SZ,"Guosen Securities Co., Ltd."
000988.SZ,HGTECH Company Limited
300442.SZ,Range Intelligent Computing Technology Group Company Limited
002460.SZ,"Ganfeng Lithium Group Co., Ltd."
002602.SZ,"Zhejiang Century Huatong Group Co.,Ltd"
000100.SZ,TCL Technology Group Corporation
000938.SZ,Unisplendour Corporation Limited
000958.SZ,"SPIC Industry-Finance Holdings Co., Ltd."
001289.SZ,China Longyuan Power Group Corporation Limited
002230.SZ,"iFLYTEK CO.,LTD"
000425.SZ,"XCMG Construction Machinery Co., Ltd."
002600.SZ,Lingyi iTech (Guangdong) Company
002156.SZ,"Tongfu Microelectronics Co.,Ltd"
000617.SZ,CNPC Capital Company Limited
300498.SZ,"Wens Foodstuff Group Co., Ltd."
000807.SZ,"Yunnan Aluminium Co., Ltd."
000630.SZ,"Tongling Nonferrous Metals Group Co.,Ltd."
000538.SZ,"Yunnan Baiyao Group Co.,Ltd"
301217.SZ,"Anhui Tongguan Copper Foil Group Co., Ltd."
300757.SZ,"RoboTechnik Intelligent Technology Co., LTD"
001309.SZ,"Shenzhen Techwinsemi Technology Co., Ltd."
002648.SZ,"Satellite Chemical Co.,Ltd."
002008.SZ,"Han's Laser Technology Industry Group Co., Ltd."
000895.SZ,"Henan Shuanghui Investment & Development Co.,Ltd."
000301.SZ,"Jiangsu Eastern Shenghong Co.,Ltd."
002128.SZ,Inner Mongolia Dian Tou Energy Corporation Limited
002080.SZ,"Sinoma Science & Technology Co.,Ltd."
002241.SZ,Goertek Inc.
001232.SZ,"Shenzhen JLC Technology Group Co., Ltd"
